complaint_text,category,urgency,duration,affected_count,source
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,High,Today,20+,synthetic
Not giving time for students to build skills,Academics,High,More than a month,5 to 20,real
"During monsoon, water enters the basement area where some labs are. Equipment gets damaged. Waterproofing should have been done long ago.",Infrastructure,High,More than a month,20+,synthetic
internet drops every 10 minutes,Technical Issues,Low,More than a month,20+,synthetic
Girls washroom doors do not have a lock/the locks are damaged . ,Infrastructure,High,More than a month,5 to 20,real
"Misal pav is the most popular item but the pav quality is always substandard. Stale, hard, sometimes has an off smell. Basic quality check karo.",Mess/Food,High,Today,20+,synthetic
classroom ka AC band hai,Technical Issues,High,More than a month,20+,synthetic
"College events run way over time without warning. If event says 6pm end, it runs till 9pm. Students miss buses and trains because of this.",Other,High,More than a month,Only me,synthetic
socket problem in labs,Infrastructure,High,More than a month,20+,synthetic
D block washroom ka floor drainage system kharab hai. Paani floor pe ruk jaata hai aur slippery ho jaata hai. Ek student phisal bhi chuki hai wahan se. Yeh ek accident ka intezaar hai. Flush bhi properly nahi kaam karta. Soap nahi hai. Overall washroom condition bahut unhygienic hai. Please send maintenance team to D block washrooms on priority. This is a safety and hygiene emergency.,Infrastructure,High,More than a month,20+,synthetic
No nutritional value in the food being served. Engineering students need proper fuel to study. You can't run on watery dal and thin chapati.,Mess/Food,High,More than a month,20+,synthetic
water ka taste acha nahi hai,Other,Medium,From Last Month,2 to 5,synthetic
outside college area littered,Cleanliness,Medium,From last week,20+,synthetic
senior ne intimidate kiya,Ragging,High,More than a month,Only me,synthetic
60 rupaye mein jo milta hai woh 30 rupaye ka bhi nahi lagta. Price kam karo ya quality improve karo. Dono sath nahi chal sakta aise.,Mess/Food,High,More than a month,Only me,synthetic
A senior student was verbally aggressive with 2-3 juniors in the parking lot. Threatened them and used intimidating language. This is ragging and should be taken seriously.,Ragging,High,More than a month,20+,synthetic
No bicycle parking area in college. Students who cycle to college have to leave them anywhere. Proper cycle stand should be provided.,Other,High,More than a month,Only me,synthetic
"After college events, the venue is never cleaned properly. Next day students find leftover food, plastic, and mess everywhere.",Cleanliness,High,More than a month,5 to 20,synthetic
The outdoor dustbins are open type  no lid. Wind blows garbage all over campus. Use closed lid dustbins please.,Cleanliness,High,More than a month,20+,synthetic
Lab mein benches pe dust ki layer hai. Computers bhi dusty hai. Clearly regular cleaning nahi hoti. Yeh equipment lifespan bhi reduce karta hai.,Cleanliness,High,More than a month,20+,synthetic
vending machine kaam nahi karti,Other,Medium,More than a month,5 to 20,synthetic
Senior students spread rumors about juniors who report issues. This creates fear and prevents genuine complaints from being raised. Strict confidentiality needed.,Ragging,High,More than a month,2 to 5,synthetic
faraway students ke liye koi support nahi,Other,Medium,From last week,2 to 5,synthetic
"The girls washroom of all the blocks especially d block are always dirty,the door knob of mostly all the stalls are broken ,the flush never works..so the washrooms of vit are in terrible condition and no one even cares to do anything about it.",Cleanliness,High,More than a month,5 to 20,real
Professor ne exam mein caught cheating ke naam pe ek student ko itna humiliate kiya ki woh rona shuru ho gayi. Stern action is understandable but public humiliation is not.,Ragging,High,More than a month,Only me,synthetic
"Paneer dishes are a disappointment every single time. Watery gravy, small pieces, and no flavor. For the price they charge, paneer should at least be decent.",Mess/Food,Medium,More than a month,20+,synthetic
Dustbins on campus are overflowing since morning. No one empties them. By afternoon the garbage is spilling onto the floor. Please increase cleaning frequency.,Cleanliness,Medium,From last week,20+,synthetic
paneer watery hai,Mess/Food,High,More than a month,20+,synthetic
Software required for our curriculum isn't installed on lab computers. We waste the first 30 minutes of every practical session installing tools.,Technical Issues,High,From Last Month,20+,synthetic
The seating capacity in the mess is way too small for the number of students. We end up eating standing or rushing back to class hungry.,Mess/Food,High,More than a month,2 to 5,synthetic
The outdoor dustbins are open type  no lid. Wind blows garbage all over campus. Use closed lid dustbins please.,Cleanliness,High,More than a month,20+,synthetic
"During monsoon, water enters the basement area where some labs are. Equipment gets damaged. Waterproofing should have been done long ago.",Infrastructure,High,More than a month,2 to 5,synthetic
The college notice boards are broken and papers fall off constantly. Small thing but makes the whole environment look neglected.,Infrastructure,High,From Last Month,20+,synthetic
"No proper induction program for first year students. They are lost for the first month with no guidance on processes, facilities, or expectations.",Other,Medium,More than a month,2 to 5,synthetic
Washroom tiles in boys block have not been scrubbed in a long time. Stains and deposits everywhere. Deep cleaning is overdue.,Cleanliness,Medium,More than a month,20+,synthetic
"Paneer dishes are a disappointment every single time. Watery gravy, small pieces, and no flavor. For the price they charge, paneer should at least be decent.",Mess/Food,High,More than a month,5 to 20,synthetic
ID card pe sir ne bully kiya,Ragging,High,From Last Month,Only me,synthetic
"Vending machine accepts only exact change  no change given back, no card/UPI. This is 2026, please upgrade the machine.",Other,High,More than a month,Only me,synthetic
college portal down hai,Technical Issues,Medium,From Last Month,20+,synthetic
"College canteen tables are rarely wiped after students leave. Leftover food, spills, and stains visible on tables. Basic table-cleaning nahi hoti kya?",Cleanliness,High,More than a month,20+,synthetic
A senior student was verbally aggressive with 2-3 juniors in the parking lot. Threatened them and used intimidating language. This is ragging and should be taken seriously.,Ragging,High,More than a month,Only me,synthetic
Professors who don't know the subject should not be teaching. Simple as that. Students deserve qualified and passionate teachers.,Academics,High,More than a month,2 to 5,synthetic
corridor mein smell aata hai,Cleanliness,High,More than a month,20+,synthetic
notice nahi milti properly,Other,High,From Last Month,Only me,synthetic
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,More than a month,5 to 20,synthetic
SGPA mein ISA ka weightage itna zyada hai ki ek bemar student ka poora semester kharab ho jata hai. No flexibility for genuine cases.,Academics,High,More than a month,20+,synthetic
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,High,More than a month,2 to 5,synthetic
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,High,More than a month,2 to 5,synthetic
events schedule clash karte hai studies se,Other,Low,More than a month,20+,synthetic
The ISA marks are directly affecting our SGPA. Ek test mein kuch galat hua toh poora semester kharab. This system needs to change.,Academics,High,More than a month,20+,synthetic
Cancel attendance factor ,Academics,High,More than a month,20+,real
Canteen ki seating capacity MUST be increased. 200+ students aate hai ek saath lunch pe aur baith ne ki jagah 50 logon ke liye hai. Simple math problem.,Mess/Food,High,More than a month,20+,synthetic
No dustbins inside lab rooms. Students have to walk to corridor to throw waste. Add dustbins inside labs please.,Infrastructure,High,More than a month,20+,synthetic
"There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure  academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There's no counselor, no support group, no accessible helpline. In some western colleges this is a priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this.",Other,Low,From Last Month,20+,synthetic
"Food quality in the mess is honestly below average. Paneer ki gravy watery hai, sabji mein koi taste nahi, aur roz wahi same menu. Variety laao please.",Mess/Food,Medium,More than a month,20+,synthetic
The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Other,Medium,More than a month,2 to 5,synthetic
"College canteen tables are rarely wiped after students leave. Leftover food, spills, and stains visible on tables. Basic table-cleaning nahi hoti kya?",Cleanliness,Medium,More than a month,2 to 5,synthetic
toilet flush kaam nahi karta,Cleanliness,High,From Last Month,20+,synthetic
seniors scare first year students,Ragging,High,More than a month,2 to 5,synthetic
"Chapatis are not good so thin and gravy smells and dal is like water no chana dal toor dal is there in it and the panner’s gravy is also so much watery
And price is 60 for this ",Mess/Food,High,More than a month,5 to 20,real
College mein koi proper grievance mechanism nahi hai. Hum complaint karte hai  whether verbally to HOD or in a register  and we never hear back. Was it received? Being looked into? Resolved? Zero feedback. It feels like complaints go into a black hole. An online complaint tracking system should be set up where students can see the status of their complaint. Transparency builds trust. Right now there is none.,Other,Medium,From Last Month,20+,synthetic
Some teachers are just here for the money they didnt even teach as per their pay just come tell something and then didnt even come to check whether student finish their work or not so much layback attitude.,Academics,Medium,From Last Month,5 to 20,real
college mein kachra everywhere,Cleanliness,Low,More than a month,20+,synthetic
"Food quality in the mess is honestly below average. Paneer ki gravy watery hai, sabji mein koi taste nahi, aur roz wahi same menu. Variety laao please.",Mess/Food,High,More than a month,Only me,synthetic
202 classroom ka AC 2 mahine se band hai. Summer mein bina AC ke ek hour bhi baithna mushkil hai. Please get it repaired already.,Technical Issues,Medium,More than a month,5 to 20,synthetic
iMac lab mein students ko access nahi diya jaata. Itna expensive hardware has dust on it. What's the point of buying it if students can't use it?,Technical Issues,High,From last week,Only me,synthetic
"College events run way over time without warning. If event says 6pm end, it runs till 9pm. Students miss buses and trains because of this.",Other,High,From Last Month,Only me,synthetic
professor ne class mein humiliate kiya,Ragging,High,From Last Month,Only me,synthetic
Water leakage in A block classrooms has been an issue since monsoon. Nothing has been repaired. The seepage is causing wall damage now too.,Infrastructure,High,From Last Month,20+,synthetic
Not encouraging students to improve their skills but attend those typical lectures with 0 value,Academics,High,More than a month,20+,real
attendance problem in college,Academics,Low,More than a month,20+,synthetic
"The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles  you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Cleanliness,Medium,More than a month,20+,synthetic
College events are held on weekdays during college hours  this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Other,Medium,From last week,2 to 5,synthetic
toilet flush kaam nahi karta,Cleanliness,Low,More than a month,5 to 20,synthetic
internet drops every 10 minutes,Technical Issues,Low,From Last Month,20+,synthetic
A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Ragging,High,More than a month,Only me,synthetic
"Printer in the department is always jammed or out of paper. Every time we go to print something important, it's never working.",Technical Issues,High,From last week,20+,synthetic
garbage near canteen area,Cleanliness,Medium,More than a month,Only me,synthetic
Food mein milawat ka doubt hota hai sometimes. Quality itni poor hai ki taste genuinely suspicious lagta hai. Health check-ups karo mess ke food ka.,Mess/Food,High,More than a month,20+,synthetic
"Sweeping is done daily but with the same dirty broom  it just moves the dust around, doesn't clean. Use proper mops with disinfectant.",Cleanliness,Low,From Last Month,2 to 5,synthetic
"Junior students are asked by certain seniors to fetch food, do errands, etc. under the guise of 'helping out.' This normalized ragging needs to be addressed.",Ragging,High,More than a month,5 to 20,synthetic
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda ho jaata hai. At least twice a day cleaning honi chahiye.,Cleanliness,Medium,More than a month,20+,synthetic
"No proper induction program for first year students. They are lost for the first month with no guidance on processes, facilities, or expectations.",Other,Medium,More than a month,20+,synthetic
"Multiple systems in lab M411 and M312 are non-functional. Some don't boot, some freeze during work, and some have login issues where it doesn't recognize student IDs. We have practicals to complete with deadlines and we can't work because the computers are broken. This has been reported multiple times but nothing has been fixed. How are we expected to learn if the tools aren't working? The labs need urgent maintenance.",Technical Issues,High,More than a month,Only me,synthetic
no mental health support in college,Other,Low,From Last Month,5 to 20,synthetic
"During monsoon, water enters the basement area where some labs are. Equipment gets damaged. Waterproofing should have been done long ago.",Infrastructure,Low,More than a month,20+,synthetic
notice nahi milti properly,Other,Medium,Today,5 to 20,synthetic
Canteen is overcrowded during the lunch break and it takes a long time to get the food and till then the lecture gets started ,Mess/Food,High,More than a month,20+,real
SGPA mein ISA ka weightage itna zyada hai ki ek bemar student ka poora semester kharab ho jata hai. No flexibility for genuine cases.,Academics,Medium,More than a month,20+,synthetic
"The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles  you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Cleanliness,High,More than a month,20+,synthetic
classroom mein dust everywhere,Cleanliness,High,More than a month,20+,synthetic
WiFi signal doesn't reach hostel blocks properly. Students who stay in hostel have no reliable internet for evening studies.,Technical Issues,Medium,More than a month,5 to 20,synthetic
dal mein paani hi paani,Mess/Food,Medium,More than a month,20+,synthetic
Girls washroom mein door locks broken hai almost every stall mein. We have to hold the door or wait for the one with a working lock. During breaks it's so stressful and time-consuming.,Infrastructure,High,Today,Only me,synthetic
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda ho jaata hai. At least twice a day cleaning honi chahiye.,Cleanliness,High,More than a month,5 to 20,synthetic
"Misal pav is the most popular item but the pav quality is always substandard. Stale, hard, sometimes has an off smell. Basic quality check karo.",Mess/Food,High,More than a month,20+,synthetic
washroom mein soap nahi hai,Cleanliness,Medium,From Last Month,20+,synthetic
faraway students ke liye koi support nahi,Other,Low,From last week,5 to 20,synthetic
"Ek faculty member ka behavior students ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai  poori class ke saamne. Ek baar ek student ne ek concept pe doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,High,More than a month,2 to 5,synthetic
garbage near canteen area,Cleanliness,Medium,More than a month,5 to 20,synthetic
Used tissue and garbage often found near the water cooler area. Students and cleaning staff both need to take responsibility.,Cleanliness,High,More than a month,5 to 20,synthetic
water ka taste acha nahi hai,Other,Medium,More than a month,5 to 20,synthetic
food quality very poor,Mess/Food,High,More than a month,5 to 20,synthetic
"Sir ne front bench pe baithe students ko bola ki 'back bench pe jaao, aap log toh waise bhi kuch nahi karoge.' This is demoralizing and unprofessional.",Ragging,High,More than a month,2 to 5,synthetic
washroom flush nahi kaam karta,Infrastructure,High,More than a month,2 to 5,synthetic
"After rains, puddles form in campus walkways and become breeding grounds for mosquitoes. Proper drainage maintenance is needed.",Cleanliness,Low,From last week,20+,synthetic
Benches in the canteen outdoor area are broken. Students sitting on them risk getting hurt. Replace them please.,Infrastructure,High,More than a month,20+,synthetic
Food hygiene is very questionable. Once I found something in my food that shouldn't be there. No proper covering of food items. This is a health risk.,Mess/Food,High,More than a month,20+,synthetic
"The college expects innovation in projects but doesn't give us time, tools, or mentorship to actually innovate. Contradiction at its finest.",Academics,High,More than a month,20+,synthetic
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,More than a month,Only me,synthetic
100% attendance compulsory kyu hai yaar,Academics,Medium,From Last Month,20+,synthetic
"Paneer dishes are a disappointment every single time. Watery gravy, small pieces, and no flavor. For the price they charge, paneer should at least be decent.",Mess/Food,Medium,More than a month,20+,synthetic
College WiFi ka login system is very buggy. Aadhe time login page hi nahi aata. Aur agar aa gaya toh disconnect ho jata hai 5 minutes mein.,Technical Issues,High,More than a month,2 to 5,synthetic
Hostel block mein geyser kaam nahi karta C wing mein. Cold water se nahaana in winter is not okay. Fix karo please.,Infrastructure,Medium,More than a month,20+,synthetic
cleaning nahi hoti proper,Cleanliness,Medium,More than a month,20+,synthetic
Canteen mein rush bohot zyada hota hai lunch time pe. 30 minute queue mein khade raho aur phir lecture miss ho jata hai. Seating bhi itni kam hai ki baithne ki jagah nahi.,Mess/Food,Low,More than a month,20+,synthetic
100% attendance compulsory kyu hai yaar,Academics,High,From Last Month,20+,synthetic
"Emergency exit signs in C block are faded and barely visible. In case of fire, this could be life-threatening. Please repaint them.",Infrastructure,Medium,More than a month,20+,synthetic
Light bulbs in some classrooms are of very low wattage  it's dim and strains the eyes during reading. Upgrade to proper bright lighting.,Infrastructure,High,More than a month,5 to 20,synthetic
internet drops every 10 minutes,Technical Issues,Medium,Today,20+,synthetic
lab systems too old to run modern software,Technical Issues,High,From last week,20+,synthetic
lights nahi chal rahi corridor mein,Infrastructure,Medium,More than a month,Only me,synthetic
monday test hata do please,Academics,Medium,More than a month,Only me,synthetic
60 rupaye mein jo milta hai woh 30 rupaye ka bhi nahi lagta. Price kam karo ya quality improve karo. Dono sath nahi chal sakta aise.,Mess/Food,High,More than a month,5 to 20,synthetic
"Paneer dishes are a disappointment every single time. Watery gravy, small pieces, and no flavor. For the price they charge, paneer should at least be decent.",Mess/Food,High,More than a month,20+,synthetic
College mein cleaning ki responsibility sirf cleaning staff pe hai  but no quality check by administration. Accountability system banao.,Cleanliness,Medium,More than a month,20+,synthetic
software license expired hai,Technical Issues,Low,More than a month,2 to 5,synthetic
lab floors dirty hai,Cleanliness,Medium,More than a month,20+,synthetic
"College social media pages post irrelevant content. Important announcements should be made on official channels, not buried under event photos.",Other,Low,More than a month,2 to 5,synthetic
The ISA marks are directly affecting our SGPA. Ek test mein kuch galat hua toh poora semester kharab. This system needs to change.,Academics,High,More than a month,20+,synthetic
Girls washroom mein door locks broken hai almost every stall mein. We have to hold the door or wait for the one with a working lock. During breaks it's so stressful and time-consuming.,Infrastructure,High,More than a month,20+,synthetic
Professor ne exam mein caught cheating ke naam pe ek student ko itna humiliate kiya ki woh rona shuru ho gayi. Stern action is understandable but public humiliation is not.,Ragging,Low,From last week,5 to 20,synthetic
There is a pattern of behavior from one particular professor that I want to report formally. He regularly singles out students who don't have 100% attendance and threatens them in front of the class. He uses sarcastic and demeaning language. Girls especially have complained of feeling uncomfortable in his classes. On multiple occasions he has made comments that were inappropriate and humiliating. This is not discipline  this is harassment. Several students have already stopped attending his classes out of fear. Please investigate and act.,Ragging,High,From last week,2 to 5,synthetic
OHU students ke liye mess ka khana affordable hona chahiye. 60-70 rupaye per meal is too much for what they serve. Quality and price dono match nahi karte.,Mess/Food,High,More than a month,5 to 20,synthetic
"Vending machine near the canteen has been out of order for 3 weeks now. After 5pm when canteen closes, students have no food/snack option. Please fix it.",Other,High,More than a month,2 to 5,synthetic
professor ne class mein humiliate kiya,Ragging,Medium,From last week,Only me,synthetic
notice nahi milti properly,Other,Medium,More than a month,20+,synthetic
Faculty member has a habit of making examples of students who perform poorly by announcing their marks publicly. This is humiliating and discouraging.,Ragging,High,From Last Month,5 to 20,synthetic
Benches in the canteen outdoor area are broken. Students sitting on them risk getting hurt. Replace them please.,Infrastructure,Low,More than a month,20+,synthetic
"No proper first aid room or medical facility on campus. If a student falls ill or gets injured, there's no immediate help available.",Other,Low,More than a month,20+,synthetic
"Sir ne front bench pe baithe students ko bola ki 'back bench pe jaao, aap log toh waise bhi kuch nahi karoge.' This is demoralizing and unprofessional.",Ragging,High,From last week,2 to 5,synthetic
AC in room 301 makes a huge noise  it's distracting during lectures. Either fix the sound or replace the unit.,Technical Issues,Medium,More than a month,20+,synthetic
No hand sanitizers or soap available in washrooms. During flu season this is a major hygiene risk for everyone in the college.,Cleanliness,Medium,More than a month,20+,synthetic
"Sweeping is done daily but with the same dirty broom  it just moves the dust around, doesn't clean. Use proper mops with disinfectant.",Cleanliness,Medium,More than a month,20+,synthetic
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,High,More than a month,5 to 20,synthetic
AC in room 301 makes a huge noise  it's distracting during lectures. Either fix the sound or replace the unit.,Technical Issues,Low,More than a month,5 to 20,synthetic
"College WhatsApp groups are full of spam  promotional messages, surveys, irrelevant forwards. It's so hard to find important messages in all this noise.",Other,Medium,From last week,Only me,synthetic
no soap dispenser in washroom,Infrastructure,Low,More than a month,20+,synthetic
The biometric attendance machine in D block has been broken for weeks. Manual attendance being taken is inconsistent and leads to disputes.,Technical Issues,Medium,More than a month,5 to 20,synthetic
sir class mein sarcasm karta hai unnecessarily,Ragging,High,More than a month,Only me,synthetic
"The parking area is completely unorganized. No designated spots, vehicles parked randomly  it creates traffic jams every morning and evening.",Infrastructure,High,From Last Month,20+,synthetic
The area behind the canteen is where all the garbage accumulates. It smells terrible and attracts insects. Proper waste disposal system chahiye.,Cleanliness,Medium,More than a month,20+,synthetic
"There is no bus facility for students coming from far areas. We spend 4-5 hours in travel daily. If college can arrange even one route, it would help many students.",Other,High,From Last Month,2 to 5,synthetic
"The electrical infrastructure in the labs is very dangerous. Sockets are so worn out that plugs don't fit  students literally use pens to push in charger pins. This is an electrical hazard and someone could get seriously hurt. This has been like this for months and no maintenance has been done. Along with this, several lab benches are broken. Students can't work comfortably in such conditions. The maintenance team needs to do a complete lab inspection immediately.",Infrastructure,High,More than a month,2 to 5,synthetic
The projector in our classroom has been broken for 2 weeks. Professor is teaching on whiteboard only which is very difficult to see from back benches.,Technical Issues,High,More than a month,20+,synthetic
iMac lab mein students ko access nahi diya jaata. Itna expensive hardware has dust on it. What's the point of buying it if students can't use it?,Technical Issues,Medium,More than a month,5 to 20,synthetic
canopy leaks during rains,Infrastructure,High,From last week,20+,synthetic
socket problem in labs,Infrastructure,Low,More than a month,20+,synthetic
"The WiFi situation in this college is honestly embarrassing. It barely works inside the building, and when it does, the speed is so slow that a simple Google search takes forever. The login system is a nightmare  half the time the login page doesn't even load, and when it does, you get disconnected every few minutes. How are students supposed to do research, complete online assignments, or access learning resources? In 2026, a college that can't provide decent internet is a serious problem. Please invest in proper networking infrastructure.",Technical Issues,High,Today,20+,synthetic
no mental health support in college,Other,Low,More than a month,5 to 20,synthetic
A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Ragging,High,From Last Month,2 to 5,synthetic
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda ho jaata hai. At least twice a day cleaning honi chahiye.,Cleanliness,High,More than a month,20+,synthetic
"The parking area is completely unorganized. No designated spots, vehicles parked randomly  it creates traffic jams every morning and evening.",Infrastructure,High,More than a month,5 to 20,synthetic
Sir ne ek student ko class se bahar kar diya publicly for no valid reason. It was humiliating and the student was visibly upset. This is not acceptable.,Ragging,High,More than a month,Only me,synthetic
counseling service nahi hai,Other,Medium,More than a month,Only me,synthetic
college events paise waste karte hai,Other,High,More than a month,20+,synthetic
"Vending machine accepts only exact change  no change given back, no card/UPI. This is 2026, please upgrade the machine.",Other,High,More than a month,5 to 20,synthetic
"Faculty member calls on students who seem distracted and mocks them sarcastically. 'Aap toh celebrity ho, hum wait karein aapke liye?' This is demeaning.",Ragging,Medium,From last week,2 to 5,synthetic
sir rude hai students ke saath,Ragging,High,More than a month,Only me,synthetic
"I am a 3rd year CE student and honestly the academic pressure here is unbearable. We have monday tests every week, ISA exams, practicals, and on top of that tons of assignments with declaration pages for each one. Where is the time to actually learn something? I want to build projects, prepare for interviews, learn new technologies  but the college keeps us so busy with pointless tasks that there's no time left. The professors themselves admit that half the syllabus won't be used in real life. Then why are we being evaluated on it? Please reconsider the academic structure.",Academics,Low,More than a month,5 to 20,synthetic
Lab M312 mein half the computers kaam nahi karte. Either they don't boot or the login fails. How are we supposed to complete practicals?,Technical Issues,Medium,From Last Month,Only me,synthetic
canteen UPI accept nahi karta,Mess/Food,Medium,More than a month,5 to 20,synthetic
Faculty member has a habit of making examples of students who perform poorly by announcing their marks publicly. This is humiliating and discouraging.,Ragging,High,From Last Month,2 to 5,synthetic
Rugved Deolekar Sir unnecessarily bullying on a  nomissue of an id card . Using poor language and rude tone which can in future lead to verbal argument and disturbance ,Ragging,High,From last week,Only me,real
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,More than a month,Only me,synthetic
queue bahut lamba hai,Mess/Food,High,From Last Month,20+,synthetic
Professor ne exam mein caught cheating ke naam pe ek student ko itna humiliate kiya ki woh rona shuru ho gayi. Stern action is understandable but public humiliation is not.,Ragging,High,More than a month,Only me,synthetic
Sir ne ek student ko class se bahar kar diya publicly for no valid reason. It was humiliating and the student was visibly upset. This is not acceptable.,Ragging,High,From Last Month,2 to 5,synthetic
College notices are never communicated properly. Important deadlines come and go without most students knowing. Use email or a proper notice board system.,Other,Low,More than a month,20+,synthetic
"Yaar monday ko test hota hai toh sunday ko self study nahi ho pata. Ek din bhi rest nahi milta. Please isko band karo, students ko breathe karne do.",Academics,Medium,From last week,20+,synthetic
Senior students spread rumors about juniors who report issues. This creates fear and prevents genuine complaints from being raised. Strict confidentiality needed.,Ragging,High,From Last Month,2 to 5,synthetic
iMac lab mein students ko access nahi diya jaata. Itna expensive hardware has dust on it. What's the point of buying it if students can't use it?,Technical Issues,Low,More than a month,20+,synthetic
professor threatens attendance kaatne ki,Ragging,High,More than a month,20+,synthetic
Lab mein benches pe dust ki layer hai. Computers bhi dusty hai. Clearly regular cleaning nahi hoti. Yeh equipment lifespan bhi reduce karta hai.,Cleanliness,High,More than a month,5 to 20,synthetic
ID card pe sir ne bully kiya,Ragging,High,From last week,20+,synthetic
college events paise waste karte hai,Other,High,More than a month,5 to 20,synthetic
"Food quality in the mess is honestly below average. Paneer ki gravy watery hai, sabji mein koi taste nahi, aur roz wahi same menu. Variety laao please.",Mess/Food,Medium,More than a month,5 to 20,synthetic
No wheelchair accessibility ramps in older buildings. Students with mobility issues cannot access certain floors. This is a serious inclusion failure.,Infrastructure,Medium,From Last Month,5 to 20,synthetic
The washroom flush in boys block hasn't been working properly for weeks. It requires multiple attempts or doesn't flush at all. Very unhygienic situation.,Infrastructure,High,More than a month,20+,synthetic
Sir ne ek student ko class se bahar kar diya publicly for no valid reason. It was humiliating and the student was visibly upset. This is not acceptable.,Ragging,Medium,More than a month,2 to 5,synthetic
mess ka khana bekar hai,Mess/Food,High,More than a month,5 to 20,synthetic
cleanliness - everywhere ,Cleanliness,High,More than a month,20+,real
College mein koi proper grievance mechanism nahi hai. Hum complaint karte hai  whether verbally to HOD or in a register  and we never hear back. Was it received? Being looked into? Resolved? Zero feedback. It feels like complaints go into a black hole. An online complaint tracking system should be set up where students can see the status of their complaint. Transparency builds trust. Right now there is none.,Other,Medium,More than a month,2 to 5,synthetic
ID card pe sir ne bully kiya,Ragging,High,More than a month,Only me,synthetic
"Declaration page for EVERY assignment is ridiculous. It's 2026, not 1990. Go paperless at least. Such a waste.",Academics,High,More than a month,5 to 20,synthetic
Sir ne ek student ko class se bahar kar diya publicly for no valid reason. It was humiliating and the student was visibly upset. This is not acceptable.,Ragging,High,More than a month,Only me,synthetic
bahar ka area safe nahi hai,Infrastructure,High,From Last Month,2 to 5,synthetic
corridor mein smell aata hai,Cleanliness,High,More than a month,5 to 20,synthetic
"Sgpi/cgpi dependent on ISA, worthy people deprived of good sg or cg",Academics,High,More than a month,20+,real
"Mess Food is not good, only 2-3 items are worth eating 
M-Block Canteen doesn't accept UPI",Mess/Food,High,More than a month,5 to 20,real
food mein oil bahut zyada hai,Mess/Food,High,More than a month,5 to 20,synthetic
"Declaration page for EVERY assignment is ridiculous. It's 2026, not 1990. Go paperless at least. Such a waste.",Academics,High,From last week,20+,synthetic
"Lack of nutrition in food, excess oil, poor quality of food.",Mess/Food,High,More than a month,20+,real
Language problem serious hai clg mein. Maharashtra ke bahar ke students ke liye Marathi medium faculty ek big barrier hai. Kuch professors poori class Marathi mein lete hai aur sirf end mein ek line English mein bolta hai. Non-Marathi students completely lost rehte hai throughout the lecture. Teaching medium English ya Hindi hona chahiye as per university guidelines. Please enforce this properly.,Other,High,From Last Month,5 to 20,synthetic
Software required for our curriculum isn't installed on lab computers. We waste the first 30 minutes of every practical session installing tools.,Technical Issues,Medium,More than a month,2 to 5,synthetic
Hostel corridor cleaning happens only on weekends. 5 days mein corridor itna ganda ho jaata hai ki walk karna uncomfortable ho jata hai.,Cleanliness,Medium,More than a month,5 to 20,synthetic
broken benches in classroom,Infrastructure,Medium,More than a month,Only me,synthetic
